commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
"Aucune différence entre 15 et 20 mégas, on espère que le minimum passe à 30 mégas sans augmentation de prix ;","Aucune différence entre 15 et 20 mégas, on espère que le minimum passe à 30 mégas sans augmentation de prix","Aucune différence entre 15 et 20 mégas, on espère que le minimum passe à 30 mégas sans augmentation de prix",aucun différence 15 20 méga-octet espérer minimum passer 30 méga-octet augmentation prix,aucune différence 15 20 mégas espère minimum passe 30 mégas augmentation prix,positif,
"Gardez-la à 1500 DA pour 50 mégas, pas à 2400 DA, c’est trop cher ;","Gardez-la à 1500 DA pour 50 mégas, pas à 2400 DA, c’est trop cher","Gardez-la à 1500 DA pour 50 mégas, pas à 2400 DA, c’est trop cher",gardez 1500 50 méga-octet 2400 trop cher,gardez 1500 50 mégas 2400 trop cher,négatif,facturation
Fournissez la fibre dans les zones reculées ;,Fournissez la fibre dans les zones reculées,Fournissez la fibre dans les zones reculées,fournissez fibre zone reculer,fournissez fibre zones reculées,positif,
"Apportez-nous les modems, après ce sera facile. Ou bien la dotation de modems n’est pas encore libérée ? ;","Apportez-nous les modems, après ce sera facile. Ou bien la dotation de modems n’est pas encore libérée ?","Apportez-nous les modems, après ce sera facile. Ou bien la dotation de modems n’est pas encore libérée ?",apportez nous modem facile bien dotation modem libérer,apportez -nous modems facile bien dotation modems libérée,positif,
"Faites d’abord fonctionner la ligne, ensuite ce sera facile ;","Faites d’abord fonctionner la ligne, ensuite ce sera facile","Faites d’abord fonctionner la ligne, ensuite ce sera facile",faites fonctionner ligne ensuite facile,faites fonctionner ligne ensuite facile,positif,
"Et le modem 4G, pas d’amélioration ? ;","Et le modem 4G, pas d’amélioration ?","Et le modem 4G, pas d’amélioration ?",modem 4 gramme amélioration,modem 4 g amélioration,positif,
"Bonjour, ça fait presque un mois qu’ils ont installé le modem à la maison, mais je n’ai toujours pas Internet. Pourquoi ? On a payé, on a déposé une réclamation à Bir Mourad Raïs, ils ont dit que ce n’est pas de leur ressort. S’il vous plaît, débloquez-nous Internet et la ligne, on en a besoin. Commune de Bir Khadem ;","Bonjour, ça fait presque un mois qu’ils ont installé le modem à la maison, mais je n’ai toujours pas Internet. Pourquoi ? On a payé, on a déposé une réclamation à Bir Mourad Raïs, ils ont dit que ce n’est pas de leur ressort. S’il vous plaît, débloquez-nous Internet et la ligne, on en a besoin. Commune de Bir Khadem","Bonjour, ça fait presque un mois qu’ils ont installé le modem à la maison, mais je n’ai toujours pas Internet. Pourquoi ? On a payé, on a déposé une réclamation à Bir Mourad Raïs, ils ont dit que ce n’est pas de leur ressort. S’il vous plaît, débloquez-nous Internet et la ligne, on en a besoin. Commune de Bir Khadem",bonjour presque mois installer modem maison internet payer déposer réclamation bir mourad raïs ressort plaire débloquer nous internet ligne besoin commune bir khadem,bonjour presque mois installé modem maison internet payé déposé réclamation bir mourad raïs ressort plaît débloquez -nous internet ligne besoin commune bir khadem,négatif,problème réseau
Il suffit qu’ils viennent réparer le câble cuivre coupé depuis plus de 10 jours ;,Il suffit qu’ils viennent réparer le câble cuivre coupé depuis plus de 10 jours,Il suffit qu’ils viennent réparer le câble cuivre coupé depuis plus de 10 jours,venir réparer câble cuivre couper 10 jour,viennent réparer câble cuivre coupé 10 jours,positif,
"Installez la fibre dans le quartier Ennassr à Tindouf, ensuite ce sera facile ;","Installez la fibre dans le quartier Ennassr à Tindouf, ensuite ce sera facile","Installez la fibre dans le quartier Ennassr à Tindouf, ensuite ce sera facile",installer fibre quartier ennassr tindouf ensuite facile,installez fibre quartier ennassr tindouf ensuite facile,positif,
"Au centre de Chlef, cité Ben Souna, 500 logements sans service fibre ;","Au centre de Chlef, cité Ben Souna, 500 logements sans service fibre","Au centre de Chlef, cité Ben Souna, 500 logements sans service fibre",centre chlef cité ben souna 500 logement service fibr,centre chlef cité ben souna 500 logements service fibre,négatif,problème réseau
"Jusqu’à maintenant, après presque 4 mois, la ligne fibre n’est toujours pas installée ! Jusqu’à quand ? Toute la wilaya de Ouargla n’a pas de modem fibre ;","Jusqu’à maintenant, après presque 4 mois, la ligne fibre n’est toujours pas installée ! Jusqu’à quand ? Toute la wilaya de Ouargla n’a pas de modem fibre","Jusqu’à maintenant, après presque 4 mois, la ligne fibre n’est toujours pas installée ! Jusqu’à quand ? Toute la wilaya de Ouargla n’a pas de modem fibre",jusqu’ presque 4 mois ligne fibre installer jusqu’ wilaya ouargla modem fibr,jusqu’ presque 4 mois ligne fibre installée jusqu’ wilaya ouargla modem fibre,négatif,problème réseau
"Installez-nous la fibre, ensuite ce sera facile à gérer ;","Installez-nous la fibre, ensuite ce sera facile à gérer","Installez-nous la fibre, ensuite ce sera facile à gérer",installer nous fibre ensuite facile gérer,installez -nous fibre ensuite facile gérer,positif,
"ADSL 2000 DA... 15 mégas, tu reçois 5 ;","ADSL 2000 DA... 15 mégas, tu reçois 5","ADSL 2000 DA... 15 mégas, tu reçois 5",adsl 2000 15 méga-octet recevoir 5,adsl 2000 15 mégas reçois 5,négatif,problème réseau
Y a-t-il des offres de réduction pour les retraités de l’ANP (armée nationale) ? ;,Y a-t-il des offres de réduction pour les retraités de l’ANP (armée nationale) ?,Y a-t-il des offres de réduction pour les retraités de l’ANP (armée nationale) ?,-t il offre réduction retraité anp armée national,-t -il offres réduction retraités anp armée nationale,positif,
"À Skikda aussi, pas de modems ;","À Skikda aussi, pas de modems","À Skikda aussi, pas de modems",skikda modem,skikda modems,neutre,
"Je paie pour 100 mégas, j’en reçois 30 ;","Je paie pour 100 mégas, j’en reçois 30","Je paie pour 100 mégas, j’en reçois 30",payer 100 méga-octet recevoir 30,paie 100 mégas reçois 30,positif,
"Service raté, ça fait presque un an que j’ai demandé la fibre, et toujours rien ;","Service raté, ça fait presque un an que j’ai demandé la fibre, et toujours rien","Service raté, ça fait presque un an que j’ai demandé la fibre, et toujours rien",service rater presque an demander fibre rien,service raté presque an demandé fibre rien,négatif,problème réseau
"Chez nous, il n’y a pas du tout votre réseau, malgré la taille de la ville ;","Chez nous, il n’y a pas du tout votre réseau, malgré la taille de la ville","Chez nous, il n’y a pas du tout votre réseau, malgré la taille de la ville",réseau taille ville,réseau taille ville,neutre,
Bon vendredi à tous ;,Bon vendredi à tous,Bon vendredi à tous,bon vendredi,bon vendredi,positif,
La vitesse minimale doit être 20 mégas ;,La vitesse minimale doit être 20 mégas,La vitesse minimale doit être 20 mégas,vitesse minimal 20 méga-octet,vitesse minimale 20 mégas,positif,
Comment pouvez-vous parler d’offres alors que vous ne fournissez même pas la fibre ? ;,Comment pouvez-vous parler d’offres alors que vous ne fournissez même pas la fibre ?,Comment pouvez-vous parler d’offres alors que vous ne fournissez même pas la fibre ?,pouvoir vous offre fournir fibre,pouvez -vous offres fournissez fibre,négatif,problème réseau
Dois-je me rendre à l’agence la plus proche ou c’est possible en ligne ? ;,Dois-je me rendre à l’agence la plus proche ou c’est possible en ligne ?,Dois-je me rendre à l’agence la plus proche ou c’est possible en ligne ?,dois je agencer ligne,dois -je agence ligne,positif,
"J’avais 15 mégas, c’est passé à 20 sans que je le demande, comment est-ce possible ? ;","J’avais 15 mégas, c’est passé à 20 sans que je le demande, comment est-ce possible ?","J’avais 15 mégas, c’est passé à 20 sans que je le demande, comment est-ce possible ?",15 méga-octet passer 20 demande -ce,15 mégas passé 20 demande -ce,négatif,autre
"Expliquez-moi, 15 mégas pour 2000 DA par mois, mais ça se coupe après 25 jours. Où sont passés les 5 jours restants ? ;","Expliquez-moi, 15 mégas pour 2000 DA par mois, mais ça se coupe après 25 jours. Où sont passés les 5 jours restants ?","Expliquez-moi, 15 mégas pour 2000 DA par mois, mais ça se coupe après 25 jours. Où sont passés les 5 jours restants ?",expliquez moi 15 mégas 2000 mois coupe 25 jour passer 5 jour restant,expliquez -moi 15 mégas 2000 mois coupe 25 jours passés 5 jours restants,négatif,facturation
On paie sans Internet ni téléphone ;,On paie sans Internet ni téléphone,On paie sans Internet ni téléphone,payer internet téléphone,paie internet téléphone,neutre,
Je peux revenir à l’offre à 160 000 seulement ;,Je peux revenir à l’offre à 160 000 seulement,Je peux revenir à l’offre à 160 000 seulement,revenir offrir 160 000,revenir offre 160 000,positif,
"C’est quoi votre problème avec les modems 4G ? Même pas 1 méga en 2024, on souffre encore du manque de débit ! ;","C’est quoi votre problème avec les modems 4G ? Même pas 1 méga en 2024, on souffre encore du manque de débit !","C’est quoi votre problème avec les modems 4G ? Même pas 1 méga en 2024, on souffre encore du manque de débit !",problème modem 4 gramme 1 méga-octet 2024 souffrir manque débit,problème modems 4 g 1 méga 2024 souffre manque débit,négatif,problème réseau
Peut-on faire une demande de fibre même si l’installation n’est pas encore faite ? ;,Peut-on faire une demande de fibre même si l’installation n’est pas encore faite ?,Peut-on faire une demande de fibre même si l’installation n’est pas encore faite ?,on faire demande fibre installation faite,-on faire demande fibre installation faite,positif,
Est-ce que c’est généralisé ou ce n’est pas pour tout le monde ? Veuillez clarifier ;,Est-ce que c’est généralisé ou ce n’est pas pour tout le monde ? Veuillez clarifier,Est-ce que c’est généralisé ou ce n’est pas pour tout le monde ? Veuillez clarifier,-ce généraliser monde vouloir clarifier,-ce généralisé monde veuillez clarifier,positif,
Concernant l’ADSL ;,Concernant l’ADSL,Concernant l’ADSL,adsl,adsl,négatif,problème réseau
Quelle est la vitesse minimale ? ;,Quelle est la vitesse minimale ?,Quelle est la vitesse minimale ?,vitesse minimal,vitesse minimale,négatif,réactivité
Y a pas de modems ! ;,Y a pas de modems !,Y a pas de modems !,modem,modems,négatif,problème réseau
Vous savez ce que ça veut dire *packet loss* ? Algérie Télécom ;,Vous savez ce que ça veut dire *packet loss* ? Algérie Télécom,Vous savez ce que ça veut dire *packet loss* ? Algérie Télécom,savoir vouloir packet loss algérie télécom,savez veut packet loss algérie télécom,négatif,problème réseau
J’ai l’ADSL ;,J’ai l’ADSL,J’ai l’ADSL,adsl,adsl,négatif,problème réseau
La fibre n’est jamais stable ! J’avais une ADSL plus stable que la fibre ! ;,La fibre n’est jamais stable ! J’avais une ADSL plus stable que la fibre !,La fibre n’est jamais stable ! J’avais une ADSL plus stable que la fibre !,fibre jamais stable adsl stable fibre,fibre jamais stable adsl stable fibre,négatif,problème réseau
"Nous, habitants de la cité LPA 80 à Djidouia, wilaya de Relizane, souffrons en silence. Les travaux de fibre sont en retard jusqu’à aujourd’hui ;","Nous, habitants de la cité LPA 80 à Djidouia, wilaya de Relizane, souffrons en silence. Les travaux de fibre sont en retard jusqu’à aujourd’hui","Nous, habitants de la cité LPA 80 à Djidouia, wilaya de Relizane, souffrons en silence. Les travaux de fibre sont en retard jusqu’à aujourd’hui",habitant cité lpa 80 djidouier wilaya relizane souffron silence travail fibre retard jusqu’ aujourd’hui,habitants cité lpa 80 djidouia wilaya relizane souffrons silence travaux fibre retard jusqu’ aujourd’hui,négatif,problème réseau
"La fibre à Belouizdad, c’est pour quand !! ;","La fibre à Belouizdad, c’est pour quand !!","La fibre à Belouizdad, c’est pour quand !!",fibre belouizdad,fibre belouizdad,négatif,problème réseau
"Comment vous contacter ? Je veux un modem Idoom, mais ici à la commune de Douera, ils me disent toujours qu’il n’y en a pas ;","Comment vous contacter ? Je veux un modem Idoom, mais ici à la commune de Douera, ils me disent toujours qu’il n’y en a pas","Comment vous contacter ? Je veux un modem Idoom, mais ici à la commune de Douera, ils me disent toujours qu’il n’y en a pas",contacter vouloir modem idoom ici commune douera dire,contacter veux modem idoom ici commune douera disent,négatif,problème réseau
